protocol,block_date,symbol,TTL
eigenlayer,2023-11-28,OETH,0
eigenlayer,2024-04-26,ethereum,3185448
eigenlayer,2024-04-27,ethereum,3202384
eigenlayer,2024-04-28,ethereum,3227424
eigenlayer,2024-04-29,ethereum,3230832
eigenlayer,2023-11-29,stETH,81526.93127
eigenlayer,2023-11-29,ethereum,23511
eigenlayer,2023-11-29,cbETH,19173.70954
eigenlayer,2023-11-29,rETH,18225.73735
eigenlayer,2023-11-29,sfrxETH,0
eigenlayer,2023-11-29,osETH,0
eigenlayer,2023-11-29,OETH,0
eigenlayer,2023-11-29,swETH,0
eigenlayer,2023-11-29,mETH,0
eigenlayer,2023-11-29,wBETH,0
eigenlayer,2023-11-29,ankrETH,0
eigenlayer,2023-11-29,ETHx,0
eigenlayer,2023-11-29,lsETH,0
eigenlayer,2023-11-30,stETH,81279.73171
eigenlayer,2023-11-30,ethereum,25754
eigenlayer,2023-11-30,cbETH,19172.96791
eigenlayer,2023-11-30,rETH,18217.30674
eigenlayer,2023-11-30,OETH,0
eigenlayer,2023-11-30,ankrETH,0
eigenlayer,2023-11-30,osETH,0
eigenlayer,2023-11-30,ETHx,0
eigenlayer,2023-11-30,mETH,0
eigenlayer,2023-11-30,sfrxETH,0
eigenlayer,2023-11-30,wBETH,0
eigenlayer,2023-11-30,lsETH,0
eigenlayer,2023-11-30,swETH,0
eigenlayer,2023-12-01,stETH,80791.8248
eigenlayer,2023-12-01,ethereum,28510
eigenlayer,2023-12-01,cbETH,19156.10971
eigenlayer,2023-12-01,rETH,18063.20166
eigenlayer,2023-12-01,ankrETH,0
eigenlayer,2023-12-01,osETH,0
eigenlayer,2023-12-01,mETH,0
eigenlayer,2023-12-01,OETH,0
eigenlayer,2023-12-01,lsETH,0
eigenlayer,2023-12-01,swETH,0
eigenlayer,2023-12-01,ETHx,0
eigenlayer,2023-12-01,sfrxETH,0
eigenlayer,2023-12-01,wBETH,0
eigenlayer,2023-12-02,stETH,80474.11074
eigenlayer,2023-12-02,ethereum,33212
eigenlayer,2023-12-02,cbETH,19151.47092
eigenlayer,2023-12-02,rETH,17946.10022
eigenlayer,2023-12-02,ETHx,0
eigenlayer,2023-12-02,wBETH,0
eigenlayer,2023-12-02,sfrxETH,0
eigenlayer,2023-12-02,ankrETH,0
eigenlayer,2023-12-02,OETH,0
eigenlayer,2023-12-02,osETH,0
eigenlayer,2023-12-02,mETH,0
eigenlayer,2023-12-02,lsETH,0
eigenlayer,2023-12-02,swETH,0
eigenlayer,2023-12-03,stETH,79953.8734
eigenlayer,2023-12-03,ethereum,35092
eigenlayer,2023-12-03,cbETH,19146.12944
eigenlayer,2023-12-03,rETH,17899.22665
eigenlayer,2023-12-03,mETH,0
eigenlayer,2023-12-03,ankrETH,0
eigenlayer,2023-12-03,OETH,0
eigenlayer,2023-12-03,osETH,0
eigenlayer,2023-12-03,swETH,0
eigenlayer,2023-12-03,ETHx,0
eigenlayer,2023-12-03,sfrxETH,0
eigenlayer,2023-12-03,wBETH,0
eigenlayer,2023-12-03,lsETH,0
eigenlayer,2023-12-04,stETH,79853.20305
eigenlayer,2023-12-04,ethereum,35816
eigenlayer,2023-12-04,cbETH,19144.58799
eigenlayer,2023-12-04,rETH,17854.16964
eigenlayer,2023-12-04,wBETH,0
eigenlayer,2023-12-04,swETH,0
eigenlayer,2023-12-04,sfrxETH,0
eigenlayer,2023-12-04,ETHx,0
eigenlayer,2023-12-04,ankrETH,0
eigenlayer,2023-12-04,mETH,0
eigenlayer,2023-12-04,lsETH,0
eigenlayer,2023-12-04,osETH,0
eigenlayer,2023-12-04,OETH,0
eigenlayer,2023-12-05,stETH,79705.92498
eigenlayer,2023-12-05,ethereum,36200
eigenlayer,2023-12-05,cbETH,19144.58799
eigenlayer,2023-12-05,rETH,17789.20562
eigenlayer,2023-12-05,mETH,0
eigenlayer,2023-12-05,sfrxETH,0
eigenlayer,2023-12-05,ETHx,0
eigenlayer,2023-12-05,lsETH,0
eigenlayer,2023-12-05,swETH,0
eigenlayer,2023-12-05,ankrETH,0
eigenlayer,2023-12-05,wBETH,0
eigenlayer,2023-12-05,OETH,0
eigenlayer,2023-12-05,osETH,0
eigenlayer,2023-12-06,stETH,78543.57035
eigenlayer,2023-12-06,ethereum,37182
eigenlayer,2023-12-06,cbETH,19134.0997
eigenlayer,2023-12-06,rETH,17516.97111
eigenlayer,2023-12-06,OETH,0
eigenlayer,2023-12-06,swETH,0
eigenlayer,2023-12-06,lsETH,0
eigenlayer,2023-12-06,wBETH,0
eigenlayer,2023-12-06,ETHx,0
eigenlayer,2023-12-06,sfrxETH,0
eigenlayer,2023-12-06,mETH,0
eigenlayer,2023-12-06,ankrETH,0
eigenlayer,2023-12-06,osETH,0
eigenlayer,2023-12-07,stETH,78483.80661
eigenlayer,2023-12-07,ethereum,37584
eigenlayer,2023-12-07,cbETH,19133.30184
eigenlayer,2023-12-07,rETH,17507.51574
eigenlayer,2023-12-07,mETH,0
eigenlayer,2023-12-07,ETHx,0
eigenlayer,2023-12-07,swETH,0
eigenlayer,2023-12-07,sfrxETH,0
eigenlayer,2023-12-07,OETH,0
eigenlayer,2023-12-07,wBETH,0
eigenlayer,2023-12-07,lsETH,0
eigenlayer,2023-12-07,ankrETH,0
eigenlayer,2023-12-07,osETH,0
eigenlayer,2023-12-08,stETH,78297.23728
eigenlayer,2023-12-08,ethereum,39528
eigenlayer,2023-12-08,cbETH,19133.30184
eigenlayer,2023-12-08,rETH,17507.10625
eigenlayer,2023-12-08,ankrETH,0
eigenlayer,2023-12-08,swETH,0
eigenlayer,2023-12-08,mETH,0
eigenlayer,2023-12-08,lsETH,0
eigenlayer,2023-12-08,osETH,0
eigenlayer,2023-12-08,ETHx,0
eigenlayer,2023-12-08,sfrxETH,0
eigenlayer,2023-12-08,wBETH,0
eigenlayer,2023-12-08,OETH,0
eigenlayer,2023-12-09,stETH,78220.50533
eigenlayer,2023-12-09,cbETH,19118.50752
eigenlayer,2023-12-09,rETH,17492.74369
eigenlayer,2023-12-09,swETH,0
eigenlayer,2023-12-09,OETH,0
eigenlayer,2023-12-09,ETHx,0
eigenlayer,2023-12-09,mETH,0
eigenlayer,2023-12-09,wBETH,0
eigenlayer,2023-12-09,lsETH,0
eigenlayer,2023-12-09,osETH,0
eigenlayer,2023-12-09,sfrxETH,0
eigenlayer,2023-12-09,ankrETH,0
eigenlayer,2023-12-10,stETH,78211.52343
eigenlayer,2023-12-10,ethereum,40912
eigenlayer,2023-12-10,cbETH,19112.89214
eigenlayer,2023-12-10,rETH,17490.4296
eigenlayer,2023-12-10,ankrETH,0
